"mturk_worker_id","template_name","nanotask_id","id","value","time_created","name","ticket_id"
"A2YCMT5BPA0AG9","pre_survey","1643","4628","yes","2019-04-04 19:49:20.259810","dur_pref","10178"
"A2YCMT5BPA0AG9","pre_survey","1643","4629","5","2019-04-04 19:49:20.292622","dur_start_min","10178"
"A2YCMT5BPA0AG9","pre_survey","1643","4630","15","2019-04-04 19:49:20.326102","dur_start_sec","10178"
"A2YCMT5BPA0AG9","pre_survey","1643","4631","10","2019-04-04 19:49:20.359504","dur_end_min","10178"
"A2YCMT5BPA0AG9","pre_survey","1643","4632","30","2019-04-04 19:49:20.392919","dur_end_sec","10178"
"A2YCMT5BPA0AG9","pre_survey","1643","4633","6","2019-04-04 19:49:20.426736","worker_years","10178"
"A2YCMT5BPA0AG9","pre_survey","1643","4634","6","2019-04-04 19:49:20.459872","worker_hours","10178"
"A30UE6DWFNUCWX","pre_survey","1643","4618","no","2019-04-04 19:48:58.850392","dur_pref","10179"
"A30UE6DWFNUCWX","pre_survey","1643","4619",,"2019-04-04 19:48:58.882965","dur_start_min","10179"
"A30UE6DWFNUCWX","pre_survey","1643","4620",,"2019-04-04 19:48:58.949853","dur_start_sec","10179"
"A30UE6DWFNUCWX","pre_survey","1643","4621",,"2019-04-04 19:48:59.000028","dur_end_min","10179"
"A30UE6DWFNUCWX","pre_survey","1643","4622",,"2019-04-04 19:48:59.033464","dur_end_sec","10179"
"A30UE6DWFNUCWX","pre_survey","1643","4623","3","2019-04-04 19:48:59.066812","worker_years","10179"
"A30UE6DWFNUCWX","pre_survey","1643","4624","4","2019-04-04 19:48:59.100183","worker_hours","10179"
"A150GMV1YQWWB3","pre_survey","1643","4923","no","2019-04-04 19:52:13.430472","dur_pref","10180"
"A150GMV1YQWWB3","pre_survey","1643","4924","10","2019-04-04 19:52:13.463289","dur_start_min","10180"
"A150GMV1YQWWB3","pre_survey","1643","4925","0","2019-04-04 19:52:13.496756","dur_start_sec","10180"
"A150GMV1YQWWB3","pre_survey","1643","4926","15","2019-04-04 19:52:13.530216","dur_end_min","10180"
"A150GMV1YQWWB3","pre_survey","1643","4927","0","2019-04-04 19:52:13.563532","dur_end_sec","10180"
"A150GMV1YQWWB3","pre_survey","1643","4928","4","2019-04-04 19:52:13.597061","worker_years","10180"
"A150GMV1YQWWB3","pre_survey","1643","4929","3","2019-04-04 19:52:13.630588","worker_hours","10180"
"A1ZD8RU6YB0VEU","pre_survey","1643","5034","no","2019-04-04 19:52:50.612111","dur_pref","10181"
"A1ZD8RU6YB0VEU","pre_survey","1643","5036",,"2019-04-04 19:52:50.661152","dur_start_min","10181"
"A1ZD8RU6YB0VEU","pre_survey","1643","5037",,"2019-04-04 19:52:50.711468","dur_start_sec","10181"
"A1ZD8RU6YB0VEU","pre_survey","1643","5038",,"2019-04-04 19:52:50.736683","dur_end_min","10181"
"A1ZD8RU6YB0VEU","pre_survey","1643","5039",,"2019-04-04 19:52:50.761711","dur_end_sec","10181"
"A1ZD8RU6YB0VEU","pre_survey","1643","5040","1","2019-04-04 19:52:50.786745","worker_years","10181"
"A1ZD8RU6YB0VEU","pre_survey","1643","5041","6","2019-04-04 19:52:50.845489","worker_hours","10181"
"A6GS1C9J3ARSB","pre_survey","1643","5854","no","2019-04-04 19:59:25.855612","dur_pref","10183"
"A6GS1C9J3ARSB","pre_survey","1643","5855",,"2019-04-04 19:59:25.879673","dur_start_min","10183"
"A6GS1C9J3ARSB","pre_survey","1643","5856",,"2019-04-04 19:59:25.904865","dur_start_sec","10183"
"A6GS1C9J3ARSB","pre_survey","1643","5857",,"2019-04-04 19:59:25.938277","dur_end_min","10183"
"A6GS1C9J3ARSB","pre_survey","1643","5858",,"2019-04-04 19:59:25.963322","dur_end_sec","10183"
"A6GS1C9J3ARSB","pre_survey","1643","5859","5","2019-04-04 19:59:25.988441","worker_years","10183"
"A6GS1C9J3ARSB","pre_survey","1643","5860","10","2019-04-04 19:59:26.013611","worker_hours","10183"
"A3PYO0Z1X4AXF4","pre_survey","1643","5867","yes","2019-04-04 19:59:46.815196","dur_pref","10184"
"A3PYO0Z1X4AXF4","pre_survey","1643","5868","30","2019-04-04 19:59:46.848110","dur_start_min","10184"
