,META:hit_id,META:submit_count
318,23914,0.0
306,21145,0.0
276,19857,0.0
295,20734,0.0
221,8255,0.0
222,8256,1.0
223,8270,2.0
267,17818,0.0
264,15508,0.0
247,14417,0.0
246,14416,0.0
257,14579,0.0
245,14376,0.0
303,20946,0.0
277,19869,0.0
320,23987,0.0
310,21946,0.0
305,21133,0.0
285,20034,0.0
300,20827,0.0
307,21881,0.0
275,19852,0.0
308,21905,0.0
269,17835,0.0
261,14676,0.0
273,17925,0.0
228,8393,0.0
220,8231,0.0
225,8290,0.0
325,24591,0.0
238,9018,0.0
312,22216,0.0
302,20865,0.0
268,17832,0.0
232,8485,0.0
296,20735,0.0
322,24371,0.0
226,8320,0.0
315,23848,0.0
272,17901,0.0
330,25597,0.0
5,4513,0.0
6,4521,1.0
7,4524,2.0
8,4527,3.0
9,4533,4.0
10,4536,5.0
11,4539,6.0
12,4589,7.0
13,4593,8.0
14,4594,9.0
15,4595,10.0
16,4598,11.0
17,4603,12.0
18,4606,13.0
19,4608,14.0
20,4611,15.0
21,4613,16.0
22,4614,17.0
23,4615,18.0
24,4616,19.0
25,4617,20.0
26,4619,21.0
27,4621,22.0
28,4622,23.0
29,4625,24.0
30,4630,25.0
31,4631,26.0
32,4633,27.0
33,4638,28.0
34,4640,29.0
35,4643,30.0
36,4647,31.0
37,4654,32.0
38,4656,33.0
39,4662,34.0
40,4664,35.0
41,4665,36.0
42,4674,37.0
43,4676,38.0
44,4680,39.0
45,4689,40.0
46,4690,41.0
47,4694,42.0
48,4698,43.0
49,4699,44.0
50,4742,45.0
51,4743,46.0
52,4746,47.0
53,4757,48.0
54,4761,49.0
55,4765,50.0
56,4789,51.0
57,4791,52.0
58,4800,53.0
59,4807,54.0
60,4814,55.0
61,4817,56.0
62,4822,57.0
63,4839,58.0
64,4854,59.0
65,4862,60.0
66,4867,61.0
67,4905,62.0
68,4907,63.0
69,4912,64.0
70,4922,65.0
71,4928,66.0
72,4970,67.0
73,4975,68.0
74,4976,69.0
75,4979,70.0
76,4988,71.0
77,4991,72.0
78,4998,73.0
79,5000,74.0
80,5001,75.0
81,5004,76.0
82,5010,77.0
83,5018,78.0
84,5026,79.0
85,5030,80.0
86,5031,81.0
87,5032,82.0
88,5034,83.0
89,5035,84.0
90,5036,85.0
91,5040,86.0
92,5042,87.0
93,5045,88.0
94,5046,89.0
95,5048,90.0
96,5055,91.0
97,5061,92.0
98,5064,93.0
99,5079,94.0
100,5082,95.0
101,5089,96.0
102,5092,97.0
103,5095,98.0
104,5097,99.0
105,5099,100.0
106,5102,101.0
107,5103,102.0
108,5110,103.0
109,5115,104.0
110,5117,105.0
111,5148,106.0
112,5164,107.0
113,5171,108.0
114,5186,109.0
115,5201,110.0
116,5202,111.0
117,5204,112.0
118,5227,113.0
119,5236,114.0
120,5238,115.0
121,5250,116.0
122,5272,117.0
123,5302,118.0
124,5305,119.0
125,5311,120.0
126,5316,121.0
127,5323,122.0
128,5325,123.0
129,5333,124.0
130,5334,125.0
131,5337,126.0
132,5339,127.0
133,5340,128.0
134,5344,129.0
135,5346,130.0
136,5355,131.0
137,5394,132.0
138,5395,133.0
139,5399,134.0
140,5401,135.0
141,5410,136.0
142,5439,137.0
143,5441,138.0
144,5447,139.0
145,5475,140.0
146,5478,141.0
147,5489,142.0
148,5492,143.0
149,5507,144.0
150,5508,145.0
151,5511,146.0
152,5523,147.0
153,5525,148.0
154,5528,149.0
155,5531,150.0
156,5532,151.0
157,5535,152.0
158,5537,153.0
159,5542,154.0
160,5543,155.0
161,5544,156.0
162,5588,157.0
163,5595,158.0
164,5599,159.0
165,5601,160.0
166,5612,161.0
167,5619,162.0
168,5643,163.0
169,5656,164.0
170,5670,165.0
171,5671,166.0
172,5675,167.0
173,5677,168.0
174,5680,169.0
175,5681,170.0
176,5689,171.0
177,5692,172.0
178,5701,173.0
179,5706,174.0
180,5707,175.0
181,5708,176.0
182,5712,177.0
183,5721,178.0
184,5734,179.0
185,5735,180.0
186,5736,181.0
187,5740,182.0
188,5746,183.0
189,5750,184.0
190,5756,185.0
191,5760,186.0
192,5763,187.0
193,5766,188.0
194,5768,189.0
195,5772,190.0
196,5785,191.0
197,5794,192.0
198,5796,193.0
199,5811,194.0
200,5812,195.0
201,5828,196.0
202,5832,197.0
203,5841,198.0
204,5856,199.0
205,5873,200.0
206,5875,201.0
207,5876,202.0
208,5881,203.0
209,5882,204.0
210,5886,205.0
211,5887,206.0
212,5900,207.0
1,2,0.0
236,8908,0.0
311,21951,0.0
237,8919,0.0
319,23945,0.0
332,25616,0.0
248,14418,0.0
313,22528,0.0
317,23862,0.0
327,25590,0.0
328,25594,1.0
213,5908,0.0
294,20702,0.0
316,23850,0.0
239,9234,0.0
331,25609,0.0
270,17846,0.0
251,14435,0.0
299,20822,0.0
241,9525,0.0
289,20139,0.0
252,14450,0.0
284,19998,1.0
283,19987,0.0
324,24469,0.0
262,14697,0.0
333,25621,0.0
291,20552,0.0
279,19902,0.0
216,8010,0.0
224,8288,0.0
280,19941,0.0
309,21937,0.0
292,20622,0.0
265,15558,0.0
321,23995,0.0
